frequency_hz,transfer_db
1.000000000e+01,-2.041207478e+01
1.031479412e+01,-2.108193895e+01
1.063949778e+01,-2.152328110e+01
1.097442292e+01,-2.076601136e+01
1.131989131e+01,-1.995933709e+01
1.167623484e+01,-1.967801778e+01
1.204379585e+01,-1.993156596e+01
1.242292747e+01,-2.012352931e+01
1.281399393e+01,-2.001673892e+01
1.321737093e+01,-1.920653102e+01
1.363344600e+01,-1.799253132e+01
1.406261887e+01,-1.656227811e+01
1.450530185e+01,-1.447789421e+01
1.496192023e+01,-1.190424182e+01
1.543291269e+01,-9.747038136e+00
1.591873171e+01,-1.101165247e+01
1.641984403e+01,-1.278689932e+01
1.693673107e+01,-1.415486745e+01
1.746988942e+01,-1.417006319e+01
1.801983127e+01,-1.459943201e+01
1.858708497e+01,-1.523875561e+01
1.917219549e+01,-1.513175498e+01
1.977572494e+01,-1.431809715e+01
2.039825314e+01,-1.240866302e+01
2.104037817e+01,-1.026845102e+01
2.170271691e+01,-7.065028584e+00
2.238590569e+01,-3.913426986e+00
2.309060085e+01,-1.279345902e+00
2.381747940e+01,-2.354593750e+00
2.456723965e+01,-4.286088238e+00
2.534060192e+01,-5.007022458e+00
2.613830918e+01,-2.572471797e+00
2.696112780e+01,8.687943721e-01
2.780984826e+01,3.886284481e+00
2.868528595e+01,5.679699087e+00
2.958828190e+01,6.903869891e+00
3.051970363e+01,9.269946519e+00
3.148044597e+01,1.328690046e+01
3.247143191e+01,1.761592814e+01
3.349361351e+01,1.989138079e+01
3.454797279e+01,1.965106722e+01
3.563552267e+01,1.827402319e+01
3.675730799e+01,1.774054652e+01
3.791440645e+01,1.843097247e+01
3.910792969e+01,2.038676410e+01
4.033902434e+01,2.205237734e+01
4.160887313e+01,2.386682382e+01
4.291869601e+01,2.451293241e+01
4.426975134e+01,2.449413431e+01
4.566333710e+01,2.256676343e+01
4.710079213e+01,2.022916312e+01
4.858349739e+01,1.766703073e+01
5.011287735e+01,1.571912552e+01
5.169040128e+01,1.473114850e+01
5.331758475e+01,1.417880511e+01
5.499599099e+01,1.422503811e+01
5.672723247e+01,1.388952116e+01
5.851297242e+01,1.368993113e+01
6.035492642e+01,1.329601730e+01
6.225486404e+01,1.278000569e+01
6.421461059e+01,1.219400504e+01
6.623604880e+01,1.227506999e+01
6.832112070e+01,1.279076349e+01
7.047182944e+01,1.393142255e+01
7.269024123e+01,1.500483463e+01
7.497848732e+01,1.588168633e+01
7.733876605e+01,1.657779496e+01
7.977334497e+01,1.666832637e+01
8.228456300e+01,1.691145516e+01
8.487483270e+01,1.728409200e+01
8.754664256e+01,1.704997238e+01
9.030255944e+01,1.645188629e+01
9.314523095e+01,1.589138262e+01
9.607738810e+01,1.673177873e+01
9.910184783e+01,1.795261896e+01
1.022215158e+02,1.818936767e+01
1.054393890e+02,1.674857155e+01
1.087585591e+02,1.347717110e+01
1.121822146e+02,1.092695822e+01
1.157136448e+02,1.059510824e+01
1.193562424e+02,1.229876105e+01
1.231135067e+02,1.467207081e+01
1.269890476e+02,1.704961609e+01
1.309865882e+02,1.917316410e+01
1.351099691e+02,2.084543301e+01
1.393631515e+02,2.198355754e+01
1.437502216e+02,2.285777609e+01
1.482753942e+02,2.290683266e+01
1.529430165e+02,2.166308864e+01
1.577575728e+02,1.933218510e+01
1.627236885e+02,1.651208998e+01
1.678461346e+02,1.404861105e+01
1.731298323e+02,1.164180142e+01
1.785798577e+02,9.377893473e+00
1.842014467e+02,7.198721165e+00
1.900000000e+02,6.013448488e+00
